run,neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
1,1137975,1126548,3126,1123422,11427,70215,0,70215,Sat Jun 25 21:06:22 CEST 2011,Sat Jun 25 21:11:22 CEST 2011,300002,62856,62856.0,0.0,0
2,1161469,1149519,3182,1146337,11949,68315,0,68315,Sat Jun 25 21:11:22 CEST 2011,Sat Jun 25 21:16:22 CEST 2011,300001,62856,62856.0,0.0,0
3,1047231,1036948,2918,1034030,10282,63851,0,63851,Sat Jun 25 21:16:22 CEST 2011,Sat Jun 25 21:21:22 CEST 2011,300002,64382,64382.0,0.0,0
4,1116223,1105190,3091,1102099,11032,66449,0,66449,Sat Jun 25 21:21:22 CEST 2011,Sat Jun 25 21:26:22 CEST 2011,300001,65062,65062.0,0.0,0
5,1106285,1095581,3052,1092529,10704,68195,0,68195,Sat Jun 25 21:26:23 CEST 2011,Sat Jun 25 21:31:23 CEST 2011,300002,62856,62856.0,0.0,0
6,1116829,1105786,3065,1102721,11043,69260,0,69260,Sat Jun 25 21:31:23 CEST 2011,Sat Jun 25 21:36:23 CEST 2011,300002,62856,62856.0,0.0,0
7,1123489,1112317,3100,1109217,11172,69360,0,69360,Sat Jun 25 21:36:23 CEST 2011,Sat Jun 25 21:41:23 CEST 2011,300007,64382,64382.0,0.0,0
8,1115426,1104111,3071,1101040,11314,69066,0,69066,Sat Jun 25 21:41:23 CEST 2011,Sat Jun 25 21:46:23 CEST 2011,300002,64382,64382.0,0.0,0
9,1135840,1124278,3164,1121114,11561,69934,0,69934,Sat Jun 25 21:46:23 CEST 2011,Sat Jun 25 21:51:23 CEST 2011,300002,62856,62856.0,0.0,0
10,1119731,1108831,3134,1105697,10900,64452,0,64452,Sat Jun 25 21:51:24 CEST 2011,Sat Jun 25 21:56:24 CEST 2011,300002,64937,64937.0,0.0,0
