run,neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
1,34736568,34492871,60579,34432292,243697,2496550,0,2496550,Sat Jun 25 21:56:24 CEST 2011,Sat Jun 25 22:01:24 CEST 2011,300003,125577,125577.0,0.0,0
2,35102566,34845157,61242,34783915,257409,2330171,0,2330171,Sat Jun 25 22:01:24 CEST 2011,Sat Jun 25 22:06:24 CEST 2011,300002,126171,126171.0,0.0,0
3,35825996,35585935,62567,35523368,240061,2588545,0,2588545,Sat Jun 25 22:06:24 CEST 2011,Sat Jun 25 22:11:24 CEST 2011,300002,125406,125406.0,0.0,0
4,35930769,35667579,63005,35604574,263190,2364607,0,2364607,Sat Jun 25 22:11:24 CEST 2011,Sat Jun 25 22:16:24 CEST 2011,300003,123105,123105.0,0.0,0
5,35622903,35383548,65119,35318429,239355,2524729,0,2524729,Sat Jun 25 22:16:24 CEST 2011,Sat Jun 25 22:21:24 CEST 2011,300006,123467,123467.0,0.0,0
6,35506863,35270602,62391,35208211,236261,2426462,0,2426462,Sat Jun 25 22:21:25 CEST 2011,Sat Jun 25 22:26:25 CEST 2011,300002,127135,127135.0,0.0,0
7,35244330,35008223,62515,34945708,236107,2479022,0,2479022,Sat Jun 25 22:26:25 CEST 2011,Sat Jun 25 22:31:25 CEST 2011,300002,125512,125512.0,0.0,0
8,35740804,35498062,63545,35434517,242742,2695570,0,2695570,Sat Jun 25 22:31:25 CEST 2011,Sat Jun 25 22:36:25 CEST 2011,300002,123467,123467.0,0.0,0
9,35751932,35486718,62513,35424205,265214,2428943,0,2428943,Sat Jun 25 22:36:25 CEST 2011,Sat Jun 25 22:41:25 CEST 2011,300002,125784,125784.0,0.0,0
10,35793932,35514053,62179,35451874,279879,2371323,0,2371323,Sat Jun 25 22:41:25 CEST 2011,Sat Jun 25 22:46:25 CEST 2011,300003,126827,126827.0,0.0,0
