run,neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
1,26045110,25430459,142296,25288163,614651,2857032,0,2857032,Sat Jun 25 20:44:40 CEST 2011,Sat Jun 25 20:46:41 CEST 2011,121819,42736,42736.0,0.0,0
2,25940460,25338356,144322,25194034,602104,2782483,0,2782483,Sat Jun 25 20:46:42 CEST 2011,Sat Jun 25 20:48:39 CEST 2011,117883,42736,42736.0,0.0,0
3,31941910,31220515,173414,31047101,721395,3493843,0,3493843,Sat Jun 25 20:48:40 CEST 2011,Sat Jun 25 20:51:02 CEST 2011,142214,42736,42736.0,0.0,0
4,26983320,26353680,149716,26203964,629640,2962917,0,2962917,Sat Jun 25 20:51:02 CEST 2011,Sat Jun 25 20:53:09 CEST 2011,127311,42736,42736.0,0.0,0
5,24974040,24371805,138984,24232821,602235,2554172,0,2554172,Sat Jun 25 20:53:09 CEST 2011,Sat Jun 25 20:55:09 CEST 2011,119955,42771,42771.0,0.0,0
6,24881220,24273283,137324,24135959,607937,2580940,0,2580940,Sat Jun 25 20:55:10 CEST 2011,Sat Jun 25 20:57:07 CEST 2011,117504,42771,42771.0,0.0,0
7,26325390,25711379,146058,25565321,614011,2901632,0,2901632,Sat Jun 25 20:57:07 CEST 2011,Sat Jun 25 20:59:24 CEST 2011,136672,42736,42736.0,0.0,0
8,26709410,26088776,147275,25941501,620634,2995194,0,2995194,Sat Jun 25 20:59:24 CEST 2011,Sat Jun 25 21:01:48 CEST 2011,143956,42771,42771.0,0.0,0
9,25895870,25290773,143344,25147429,605097,2763151,0,2763151,Sat Jun 25 21:01:48 CEST 2011,Sat Jun 25 21:04:02 CEST 2011,133536,42736,42736.0,0.0,0
10,27671280,27020156,151811,26868345,651124,2978457,0,2978457,Sat Jun 25 21:04:02 CEST 2011,Sat Jun 25 21:06:21 CEST 2011,139624,42736,42736.0,0.0,0
