run,neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
1,12757320,12140776,172050,11968726,616544,2174894,0,2174894,Sat Jun 25 20:37:59 CEST 2011,Sat Jun 25 20:38:41 CEST 2011,42051,24073,24073.0,0.0,0
2,12109680,11517982,163261,11354721,591698,2102290,0,2102290,Sat Jun 25 20:38:41 CEST 2011,Sat Jun 25 20:39:20 CEST 2011,38641,24073,24073.0,0.0,0
3,11381760,10841314,154031,10687283,540446,1956006,0,1956006,Sat Jun 25 20:39:20 CEST 2011,Sat Jun 25 20:39:57 CEST 2011,36650,24073,24073.0,0.0,0
4,11988360,11410104,162350,11247754,578256,2051464,0,2051464,Sat Jun 25 20:39:57 CEST 2011,Sat Jun 25 20:40:36 CEST 2011,39269,24073,24073.0,0.0,0
5,12867120,12268991,172991,12096000,598129,2145914,0,2145914,Sat Jun 25 20:40:36 CEST 2011,Sat Jun 25 20:41:20 CEST 2011,44112,24073,24073.0,0.0,0
6,12873600,12254850,173076,12081774,618750,2198424,0,2198424,Sat Jun 25 20:41:20 CEST 2011,Sat Jun 25 20:42:02 CEST 2011,41446,24073,24073.0,0.0,0
7,12435480,11816037,167291,11648746,619443,2200710,0,2200710,Sat Jun 25 20:42:02 CEST 2011,Sat Jun 25 20:42:42 CEST 2011,39703,24073,24073.0,0.0,0
8,12618720,12018578,170606,11847972,600142,2095013,0,2095013,Sat Jun 25 20:42:42 CEST 2011,Sat Jun 25 20:43:22 CEST 2011,40385,24073,24073.0,0.0,0
9,11385720,10850170,154391,10695779,535550,1865523,0,1865523,Sat Jun 25 20:43:22 CEST 2011,Sat Jun 25 20:43:59 CEST 2011,36270,24073,24073.0,0.0,0
10,12926880,12311602,174171,12137431,615278,2151947,0,2151947,Sat Jun 25 20:43:59 CEST 2011,Sat Jun 25 20:44:39 CEST 2011,40719,24073,24073.0,0.0,0
