virtschedule,neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
POLYGON,173589,166285,2115,164170,7303,27624,0,27624,Fri Jun 24 18:13:56 CEST 2011,Fri Jun 24 18:14:04 CEST 2011,7781,24073,24073.0,0.0,0
GREEK,128076,122792,1585,121207,5283,11589,0,11589,Fri Jun 24 18:14:04 CEST 2011,Fri Jun 24 18:14:10 CEST 2011,5816,24269,24269.0,0.0,0
FIRSTPOLYGONTHENGREEK,211809,202643,2630,200013,9165,38225,0,38225,Fri Jun 24 18:14:10 CEST 2011,Fri Jun 24 18:14:19 CEST 2011,9077,24073,24073.0,0.0,0
