grasptries,neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
0,149370,142528,1855,140673,6842,20720,0,20720,Fri Jun 24 18:26:57 CEST 2011,Fri Jun 24 18:26:59 CEST 2011,1731,24073,24073.0,0.0,0
10,196092,187791,2437,185354,8300,32992,0,32992,Fri Jun 24 18:26:59 CEST 2011,Fri Jun 24 18:27:09 CEST 2011,9581,24073,24073.0,0.0,0
20,173433,166095,2161,163934,7337,27890,0,27890,Fri Jun 24 18:27:09 CEST 2011,Fri Jun 24 18:27:26 CEST 2011,17571,24073,24073.0,0.0,0
30,174785,167483,2179,165304,7301,28449,0,28449,Fri Jun 24 18:27:26 CEST 2011,Fri Jun 24 18:27:54 CEST 2011,27580,24073,24073.0,0.0,0
40,167856,160915,2101,158814,6940,27580,0,27580,Fri Jun 24 18:27:54 CEST 2011,Fri Jun 24 18:28:29 CEST 2011,34696,24073,24073.0,0.0,0
50,175390,167953,2168,165785,7436,28661,0,28661,Fri Jun 24 18:28:29 CEST 2011,Fri Jun 24 18:29:04 CEST 2011,34880,24073,24073.0,0.0,0
60,171346,164183,2134,162049,7163,28238,0,28238,Fri Jun 24 18:29:04 CEST 2011,Fri Jun 24 18:29:49 CEST 2011,44817,24073,24073.0,0.0,0
70,186481,178744,2329,176415,7736,31470,0,31470,Fri Jun 24 18:29:49 CEST 2011,Fri Jun 24 18:30:43 CEST 2011,53870,24073,24073.0,0.0,0
80,183309,175612,2284,173328,7697,30582,0,30582,Fri Jun 24 18:30:43 CEST 2011,Fri Jun 24 18:31:46 CEST 2011,62828,24073,24073.0,0.0,0
90,178927,171323,2222,169101,7604,29390,0,29390,Fri Jun 24 18:31:46 CEST 2011,Fri Jun 24 18:33:09 CEST 2011,82812,24073,24073.0,0.0,0
100,174084,166820,2176,164644,7263,28461,0,28461,Fri Jun 24 18:33:09 CEST 2011,Fri Jun 24 18:34:21 CEST 2011,71588,24073,24073.0,0.0,0
