tabulistlen,neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
0,110760,110760,1501,109259,0,30536,0,30536,Fri Jun 24 18:23:27 CEST 2011,Fri Jun 24 18:23:31 CEST 2011,3608,24691,24691.0,0.0,0
10,132483,128079,1623,126456,4403,27485,0,27485,Fri Jun 24 18:23:31 CEST 2011,Fri Jun 24 18:23:36 CEST 2011,4873,24122,24122.0,0.0,0
20,177567,170431,2190,168241,7135,33867,0,33867,Fri Jun 24 18:23:36 CEST 2011,Fri Jun 24 18:23:42 CEST 2011,6525,24073,24073.0,0.0,0
30,176670,169414,2147,167267,7255,33387,0,33387,Fri Jun 24 18:23:42 CEST 2011,Fri Jun 24 18:23:50 CEST 2011,7874,24073,24073.0,0.0,0
40,160719,154170,1977,152193,6549,26055,0,26055,Fri Jun 24 18:23:50 CEST 2011,Fri Jun 24 18:23:57 CEST 2011,7275,24073,24073.0,0.0,0
50,176631,169280,2188,167092,7350,29896,0,29896,Fri Jun 24 18:23:57 CEST 2011,Fri Jun 24 18:24:06 CEST 2011,8121,24073,24073.0,0.0,0
60,142545,136524,1786,134738,6020,23346,0,23346,Fri Jun 24 18:24:06 CEST 2011,Fri Jun 24 18:24:13 CEST 2011,7534,24073,24073.0,0.0,0
70,160056,152625,2035,150590,7430,25818,0,25818,Fri Jun 24 18:24:13 CEST 2011,Fri Jun 24 18:24:22 CEST 2011,9083,24122,24122.0,0.0,0
80,157560,151049,1973,149076,6510,26098,0,26098,Fri Jun 24 18:24:22 CEST 2011,Fri Jun 24 18:24:33 CEST 2011,10297,24073,24073.0,0.0,0
90,145704,139723,1840,137883,5980,23756,0,23756,Fri Jun 24 18:24:33 CEST 2011,Fri Jun 24 18:24:42 CEST 2011,9703,24073,24073.0,0.0,0
100,179517,172196,2243,169953,7320,30948,0,30948,Fri Jun 24 18:24:42 CEST 2011,Fri Jun 24 18:24:53 CEST 2011,10630,24073,24073.0,0.0,0
110,158379,152044,2001,150043,6334,26476,0,26476,Fri Jun 24 18:24:53 CEST 2011,Fri Jun 24 18:25:04 CEST 2011,10756,24073,24073.0,0.0,0
120,167739,161148,2105,159043,6590,29113,0,29113,Fri Jun 24 18:25:04 CEST 2011,Fri Jun 24 18:25:15 CEST 2011,11032,24122,24122.0,0.0,0
130,149370,142716,1873,140843,6654,25147,0,25147,Fri Jun 24 18:25:15 CEST 2011,Fri Jun 24 18:25:24 CEST 2011,9133,24073,24073.0,0.0,0
140,182130,174861,2286,172575,7268,31860,0,31860,Fri Jun 24 18:25:24 CEST 2011,Fri Jun 24 18:25:37 CEST 2011,12768,24122,24122.0,0.0,0
150,163995,157247,2060,155187,6747,27329,0,27329,Fri Jun 24 18:25:37 CEST 2011,Fri Jun 24 18:25:52 CEST 2011,15278,24073,24073.0,0.0,0
160,161343,154527,2038,152489,6815,27629,0,27629,Fri Jun 24 18:25:52 CEST 2011,Fri Jun 24 18:26:06 CEST 2011,13628,24073,24073.0,0.0,0
170,146796,140554,1861,138693,6241,23586,0,23586,Fri Jun 24 18:26:06 CEST 2011,Fri Jun 24 18:26:16 CEST 2011,10279,24073,24073.0,0.0,0
180,185874,177940,2316,175624,7933,31882,0,31882,Fri Jun 24 18:26:16 CEST 2011,Fri Jun 24 18:26:29 CEST 2011,12867,24122,24122.0,0.0,0
190,181584,174159,2262,171897,7424,32248,0,32248,Fri Jun 24 18:26:29 CEST 2011,Fri Jun 24 18:26:42 CEST 2011,13499,24122,24122.0,0.0,0
200,153465,147089,1920,145169,6375,25546,0,25546,Fri Jun 24 18:26:43 CEST 2011,Fri Jun 24 18:26:57 CEST 2011,14643,24073,24073.0,0.0,0
