constructioheuristic,neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
RANDOM,1754610,1682792,21392,1661400,71818,141210,0,141210,Fri Jun 24 18:13:42 CEST 2011,Fri Jun 24 18:13:50 CEST 2011,8731,24269,24269.0,0.0,0
GREEDY,1173900,1135490,14460,1121030,38410,217830,0,217830,Fri Jun 24 18:13:50 CEST 2011,Fri Jun 24 18:13:56 CEST 2011,6013,24700,24700.0,0.0,0
