noimprovment,
0,0,0,0,0,0,0,0,0,Fri Jun 24 19:13:01 CEST 2011,Fri Jun 24 19:13:01 CEST 2011,322,,,,
50,966966,948366,4863,943503,18600,102691,0,102691,Fri Jun 24 19:13:01 CEST 2011,Fri Jun 24 19:13:07 CEST 2011,6325,44377,44377.0,0.0,0
100,1716582,1683004,8903,1674101,33578,178047,0,178047,Fri Jun 24 19:13:07 CEST 2011,Fri Jun 24 19:13:17 CEST 2011,9909,43707,43707.0,0.0,0
150,2732814,2679033,14375,2664658,53781,308621,0,308621,Fri Jun 24 19:13:17 CEST 2011,Fri Jun 24 19:13:32 CEST 2011,14396,43500,43500.0,0.0,0
200,2467164,2417008,12792,2404216,50156,302964,0,302964,Fri Jun 24 19:13:32 CEST 2011,Fri Jun 24 19:13:49 CEST 2011,16987,42771,42771.0,0.0,0
250,3514308,3437201,19147,3418054,77107,404462,0,404462,Fri Jun 24 19:13:49 CEST 2011,Fri Jun 24 19:14:08 CEST 2011,18763,43500,43500.0,0.0,0
300,5065704,4955054,26395,4928659,110650,556260,0,556260,Fri Jun 24 19:14:08 CEST 2011,Fri Jun 24 19:14:35 CEST 2011,26817,43296,43296.0,0.0,0
350,5504268,5389834,28372,5361462,114434,690996,0,690996,Fri Jun 24 19:14:35 CEST 2011,Fri Jun 24 19:15:05 CEST 2011,29937,42959,42959.0,0.0,0
400,6188196,6048972,31586,6017386,139224,603804,0,603804,Fri Jun 24 19:15:05 CEST 2011,Fri Jun 24 19:15:39 CEST 2011,33927,42959,42959.0,0.0,0
450,7093338,6940481,36398,6904083,152857,747458,0,747458,Fri Jun 24 19:15:39 CEST 2011,Fri Jun 24 19:16:28 CEST 2011,49816,42736,42736.0,0.0,0
500,5768952,5633471,29954,5603517,135481,532036,0,532036,Fri Jun 24 19:16:29 CEST 2011,Fri Jun 24 19:17:03 CEST 2011,34390,42736,42736.0,0.0,0
