tabulistlen,neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
0,2615928,2615928,13003,2602925,0,500486,0,500486,Fri Jun 24 18:37:19 CEST 2011,Fri Jun 24 18:37:33 CEST 2011,13295,43414,43414.0,0.0,0
10,3018750,2965951,15319,2950632,52799,431544,0,431544,Fri Jun 24 18:37:33 CEST 2011,Fri Jun 24 18:37:52 CEST 2011,19109,43290,43290.0,0.0,0
20,2972382,2913064,15724,2897340,59318,402504,0,402504,Fri Jun 24 18:37:52 CEST 2011,Fri Jun 24 18:38:13 CEST 2011,20461,42837,42837.0,0.0,0
30,3920994,3838711,19745,3818966,82283,553781,0,553781,Fri Jun 24 18:38:13 CEST 2011,Fri Jun 24 18:38:42 CEST 2011,28953,43449,43449.0,0.0,0
40,3775128,3695614,19351,3676263,79514,443050,0,443050,Fri Jun 24 18:38:42 CEST 2011,Fri Jun 24 18:39:07 CEST 2011,25214,42959,42959.0,0.0,0
50,3211950,3136901,17130,3119771,75049,291371,0,291371,Fri Jun 24 18:39:07 CEST 2011,Fri Jun 24 18:39:48 CEST 2011,41148,42837,42837.0,0.0,0
60,3338496,3265846,17637,3248209,72650,367049,0,367049,Fri Jun 24 18:39:48 CEST 2011,Fri Jun 24 18:40:31 CEST 2011,42447,42771,42771.0,0.0,0
70,2792706,2730356,14658,2715698,62350,282327,0,282327,Fri Jun 24 18:40:31 CEST 2011,Fri Jun 24 18:41:01 CEST 2011,29850,43039,43039.0,0.0,0
80,4051404,3968833,20692,3948141,82571,497350,0,497350,Fri Jun 24 18:41:01 CEST 2011,Fri Jun 24 18:41:33 CEST 2011,32122,42771,42771.0,0.0,0
90,3924858,3836191,20751,3815440,88667,440922,0,440922,Fri Jun 24 18:41:33 CEST 2011,Fri Jun 24 18:42:06 CEST 2011,33610,43500,43500.0,0.0,0
100,3188766,3117464,16675,3100789,71302,327021,0,327021,Fri Jun 24 18:42:06 CEST 2011,Fri Jun 24 18:42:36 CEST 2011,29374,42771,42771.0,0.0,0
110,3681426,3598017,19285,3578732,83409,401773,0,401773,Fri Jun 24 18:42:36 CEST 2011,Fri Jun 24 18:43:06 CEST 2011,30536,42736,42736.0,0.0,0
120,4153800,4063274,21972,4041302,90526,490291,0,490291,Fri Jun 24 18:43:06 CEST 2011,Fri Jun 24 18:43:48 CEST 2011,41499,42820,42820.0,0.0,0
130,3902640,3822300,20475,3801825,80340,464501,0,464501,Fri Jun 24 18:43:48 CEST 2011,Fri Jun 24 18:44:28 CEST 2011,40411,42736,42736.0,0.0,0
140,3452484,3382057,17779,3364278,70427,358884,0,358884,Fri Jun 24 18:44:28 CEST 2011,Fri Jun 24 18:44:58 CEST 2011,29095,43449,43449.0,0.0,0
150,3822462,3737271,20097,3717174,85191,394590,0,394590,Fri Jun 24 18:44:58 CEST 2011,Fri Jun 24 18:45:32 CEST 2011,34500,43500,43500.0,0.0,0
160,4654188,4572737,23924,4548813,81451,628120,0,628120,Fri Jun 24 18:45:32 CEST 2011,Fri Jun 24 18:46:16 CEST 2011,43336,42771,42771.0,0.0,0
170,3783822,3706201,19604,3686597,77621,406634,0,406634,Fri Jun 24 18:46:16 CEST 2011,Fri Jun 24 18:46:52 CEST 2011,36231,42771,42771.0,0.0,0
180,4092942,4011894,21192,3990702,81048,499991,0,499991,Fri Jun 24 18:46:52 CEST 2011,Fri Jun 24 18:47:31 CEST 2011,39231,42771,42771.0,0.0,0
190,4498662,4407960,23341,4384619,90702,535963,0,535963,Fri Jun 24 18:47:31 CEST 2011,Fri Jun 24 18:48:16 CEST 2011,44819,42736,42736.0,0.0,0
200,4119990,4031320,21251,4010069,88670,450035,0,450035,Fri Jun 24 18:48:16 CEST 2011,Fri Jun 24 18:48:57 CEST 2011,41307,42736,42736.0,0.0,0
