noimprovment,
0,0,0,0,0,0,0,0,0,Fri Jun 24 19:13:01 CEST 2011,Fri Jun 24 19:13:01 CEST 2011,322,,,,
50,96696,94836,486,94350,1860,10269,0,10269,Fri Jun 24 19:13:01 CEST 2011,Fri Jun 24 19:13:07 CEST 2011,6325,44377,44377.0,0.0,0
100,171658,168300,890,167410,3357,17804,0,17804,Fri Jun 24 19:13:07 CEST 2011,Fri Jun 24 19:13:17 CEST 2011,9909,43707,43707.0,0.0,0
150,273281,267903,1437,266466,5378,30862,0,30862,Fri Jun 24 19:13:17 CEST 2011,Fri Jun 24 19:13:32 CEST 2011,14396,43500,43500.0,0.0,0
200,246716,241700,1279,240421,5015,30296,0,30296,Fri Jun 24 19:13:32 CEST 2011,Fri Jun 24 19:13:49 CEST 2011,16987,42771,42771.0,0.0,0
250,351430,343720,1914,341806,7710,40446,0,40446,Fri Jun 24 19:13:49 CEST 2011,Fri Jun 24 19:14:08 CEST 2011,18763,43500,43500.0,0.0,0
300,506570,495505,2639,492866,11065,55626,0,55626,Fri Jun 24 19:14:08 CEST 2011,Fri Jun 24 19:14:35 CEST 2011,26817,43296,43296.0,0.0,0
350,550426,538983,2837,536146,11443,69099,0,69099,Fri Jun 24 19:14:35 CEST 2011,Fri Jun 24 19:15:05 CEST 2011,29937,42959,42959.0,0.0,0
400,618819,604897,3158,601739,13922,60380,0,60380,Fri Jun 24 19:15:05 CEST 2011,Fri Jun 24 19:15:39 CEST 2011,33927,42959,42959.0,0.0,0
450,709333,694048,3639,690409,15285,74745,0,74745,Fri Jun 24 19:15:39 CEST 2011,Fri Jun 24 19:16:28 CEST 2011,49816,42736,42736.0,0.0,0
500,576895,563347,2995,560352,13548,53203,0,53203,Fri Jun 24 19:16:29 CEST 2011,Fri Jun 24 19:17:03 CEST 2011,34390,42736,42736.0,0.0,0
