constructioheuristic,neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
RANDOM,4608786,4534550,22830,4511720,74236,296803,0,296803,Fri Jun 24 19:17:03 CEST 2011,Fri Jun 24 19:17:33 CEST 2011,29703,42730,42730.0,0.0,0
GREEDY,3680460,3604730,17730,3587000,75730,520620,0,520620,Fri Jun 24 19:17:33 CEST 2011,Fri Jun 24 19:17:54 CEST 2011,20931,44620,44620.0,0.0,0
