run,neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
1,868414,862321,1514,860807,6092,62413,0,62413,Sat Jun 25 21:56:24 CEST 2011,Sat Jun 25 22:01:24 CEST 2011,300003,125577,125577.0,0.0,0
2,877564,871129,1531,869598,6435,58254,0,58254,Sat Jun 25 22:01:24 CEST 2011,Sat Jun 25 22:06:24 CEST 2011,300002,126171,126171.0,0.0,0
3,895650,889648,1564,888084,6001,64713,0,64713,Sat Jun 25 22:06:24 CEST 2011,Sat Jun 25 22:11:24 CEST 2011,300002,125406,125406.0,0.0,0
4,898269,891689,1575,890114,6579,59115,0,59115,Sat Jun 25 22:11:24 CEST 2011,Sat Jun 25 22:16:24 CEST 2011,300003,123105,123105.0,0.0,0
5,890572,884588,1627,882961,5983,63118,0,63118,Sat Jun 25 22:16:24 CEST 2011,Sat Jun 25 22:21:24 CEST 2011,300006,123467,123467.0,0.0,0
6,887671,881765,1559,880206,5906,60661,0,60661,Sat Jun 25 22:21:25 CEST 2011,Sat Jun 25 22:26:25 CEST 2011,300002,127135,127135.0,0.0,0
7,881108,875205,1562,873643,5902,61975,0,61975,Sat Jun 25 22:26:25 CEST 2011,Sat Jun 25 22:31:25 CEST 2011,300002,125512,125512.0,0.0,0
8,893520,887451,1588,885863,6068,67389,0,67389,Sat Jun 25 22:31:25 CEST 2011,Sat Jun 25 22:36:25 CEST 2011,300002,123467,123467.0,0.0,0
9,893798,887168,1562,885606,6630,60723,0,60723,Sat Jun 25 22:36:25 CEST 2011,Sat Jun 25 22:41:25 CEST 2011,300002,125784,125784.0,0.0,0
10,894848,887851,1554,886297,6996,59283,0,59283,Sat Jun 25 22:41:25 CEST 2011,Sat Jun 25 22:46:25 CEST 2011,300003,126827,126827.0,0.0,0
