run,neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
1,318933,303519,4301,299218,15413,54372,0,54372,Sat Jun 25 20:37:59 CEST 2011,Sat Jun 25 20:38:41 CEST 2011,42051,24073,24073.0,0.0,0
2,302742,287949,4081,283868,14792,52557,0,52557,Sat Jun 25 20:38:41 CEST 2011,Sat Jun 25 20:39:20 CEST 2011,38641,24073,24073.0,0.0,0
3,284544,271032,3850,267182,13511,48900,0,48900,Sat Jun 25 20:39:20 CEST 2011,Sat Jun 25 20:39:57 CEST 2011,36650,24073,24073.0,0.0,0
4,299709,285252,4058,281194,14456,51286,0,51286,Sat Jun 25 20:39:57 CEST 2011,Sat Jun 25 20:40:36 CEST 2011,39269,24073,24073.0,0.0,0
5,321678,306724,4324,302400,14953,53647,0,53647,Sat Jun 25 20:40:36 CEST 2011,Sat Jun 25 20:41:20 CEST 2011,44112,24073,24073.0,0.0,0
6,321840,306371,4326,302045,15468,54960,0,54960,Sat Jun 25 20:41:20 CEST 2011,Sat Jun 25 20:42:02 CEST 2011,41446,24073,24073.0,0.0,0
7,310887,295400,4182,291218,15486,55017,0,55017,Sat Jun 25 20:42:02 CEST 2011,Sat Jun 25 20:42:42 CEST 2011,39703,24073,24073.0,0.0,0
8,315468,300464,4265,296199,15003,52375,0,52375,Sat Jun 25 20:42:42 CEST 2011,Sat Jun 25 20:43:22 CEST 2011,40385,24073,24073.0,0.0,0
9,284643,271254,3859,267395,13388,46638,0,46638,Sat Jun 25 20:43:22 CEST 2011,Sat Jun 25 20:43:59 CEST 2011,36270,24073,24073.0,0.0,0
10,323172,307790,4354,303436,15381,53798,0,53798,Sat Jun 25 20:43:59 CEST 2011,Sat Jun 25 20:44:39 CEST 2011,40719,24073,24073.0,0.0,0
