grasptries,neighborhoodsExplored,nonTabuNeighborhoodsExplored,betterNonTabuNeighborhoodsExplored,worseNonTabuNeighborhoodsExplored,tabuNeighborhoodsExplored,legalNeighborhoodsExplored,betterLegalNeighborhoodsExplored,worseLegalNeighborhoodsExplored,start,end,duration,cost,costWithPenalty,penalty,softConstraintViolations
10,2943567,2920864,4735,2916129,22702,203372,0,203372,Sat Jun 25 03:11:59 CEST 2011,Sat Jun 25 03:16:45 CEST 2011,285526,125836,125836.0,0.0,0
20,2713669,2691172,4433,2686739,22496,185713,0,185713,Sat Jun 25 03:16:45 CEST 2011,Sat Jun 25 03:25:43 CEST 2011,538634,125849,125849.0,0.0,0
30,2824410,2801620,4527,2797093,22790,196124,0,196124,Sat Jun 25 03:25:44 CEST 2011,Sat Jun 25 03:40:01 CEST 2011,857140,123790,123790.0,0.0,0
40,2484696,2462866,3947,2458919,21831,159284,0,159284,Sat Jun 25 03:40:01 CEST 2011,Sat Jun 25 03:57:22 CEST 2011,1040858,123153,123153.0,0.0,0
50,2495552,2475243,4059,2471184,20309,162240,0,162240,Sat Jun 25 03:57:22 CEST 2011,Sat Jun 25 04:17:59 CEST 2011,1236801,124271,124271.0,0.0,0
60,2570221,2549387,4165,2545222,20834,180343,0,180343,Sat Jun 25 04:17:59 CEST 2011,Sat Jun 25 04:43:22 CEST 2011,1522521,123153,123153.0,0.0,0
70,2711601,2689277,4341,2684936,22323,176916,0,176916,Sat Jun 25 04:43:22 CEST 2011,Sat Jun 25 05:14:25 CEST 2011,1863342,122667,122667.0,0.0,0
80,2365204,2345400,3787,2341613,19804,152134,0,152134,Sat Jun 25 05:14:26 CEST 2011,Sat Jun 25 05:45:28 CEST 2011,1861975,123884,123884.0,0.0,0
